destination,destination_type,preferred_climate,distance,budget,food_preference,activity_preference
Manali,Mountains,Cold,Long,High,Non-Veg,Relaxing
Udaipur,City,Hot,Medium,High,Vegan,Relaxing
Jaisalmer,Desert,Hot,Long,Medium,Vegan,Cultural
Pondicherry,Beach,Tropical,Long,Low,Vegan,Nightlife
Delhi,City,Temperate,Medium,Medium,Vegan,Adventure
Ladakh,Mountains,Cold,Long,Medium,Vegan,Relaxing
Rishikesh,Mountains,Temperate,Medium,High,Vegan,Adventure
Pondicherry,Beach,Tropical,Long,Low,Non-Veg,Cultural
Udaipur,City,Hot,Medium,Medium,Vegan,Adventure
Delhi,City,Temperate,Medium,Medium,Veg,Adventure
Rishikesh,Mountains,Temperate,Medium,Medium,Vegan,Relaxing
Rishikesh,Mountains,Temperate,Medium,Medium,Vegan,Nightlife
Shimla,Mountains,Cold,Medium,High,Vegan,Cultural
Munnar,Forest,Tropical,Long,Medium,Non-Veg,Cultural
Ladakh,Mountains,Cold,Long,High,Veg,Nightlife
Manali,Mountains,Cold,Long,High,Vegan,Adventure
Goa,Beach,Tropical,Medium,High,Vegan,Cultural
Ladakh,Mountains,Cold,Long,Medium,Vegan,Relaxing
Pondicherry,Beach,Tropical,Long,High,Vegan,Cultural
Delhi,City,Temperate,Medium,Low,Non-Veg,Adventure
Jaisalmer,Desert,Hot,Long,High,Veg,Adventure
Pondicherry,Beach,Tropical,Long,Low,Veg,Adventure
Manali,Mountains,Cold,Long,Low,Veg,Nightlife
Ladakh,Mountains,Cold,Long,Medium,Non-Veg,Cultural
Manali,Mountains,Cold,Long,Medium,Non-Veg,Relaxing
Shimla,Mountains,Cold,Medium,Medium,Veg,Relaxing
Jaisalmer,Desert,Hot,Long,High,Veg,Nightlife
Delhi,City,Temperate,Medium,Low,Veg,Nightlife
Shimla,Mountains,Cold,Medium,Low,Non-Veg,Cultural
Udaipur,City,Hot,Medium,High,Veg,Nightlife
Munnar,Forest,Tropical,Long,High,Vegan,Cultural
Udaipur,City,Hot,Medium,Low,Vegan,Adventure
Munnar,Forest,Tropical,Long,Medium,Veg,Relaxing
Pondicherry,Beach,Tropical,Long,High,Veg,Nightlife
Shimla,Mountains,Cold,Medium,High,Non-Veg,Adventure
Pondicherry,Beach,Tropical,Long,High,Veg,Adventure
Goa,Beach,Tropical,Medium,High,Vegan,Cultural
Manali,Mountains,Cold,Long,Medium,Veg,Nightlife
Udaipur,City,Hot,Medium,High,Veg,Nightlife
Udaipur,City,Hot,Medium,High,Vegan,Nightlife
Pondicherry,Beach,Tropical,Long,High,Non-Veg,Nightlife
Delhi,City,Temperate,Medium,High,Non-Veg,Relaxing
Shimla,Mountains,Cold,Medium,High,Veg,Adventure
Shimla,Mountains,Cold,Medium,High,Vegan,Adventure
Munnar,Forest,Tropical,Long,Medium,Veg,Adventure
Shimla,Mountains,Cold,Medium,Medium,Non-Veg,Adventure
Ladakh,Mountains,Cold,Long,Low,Veg,Nightlife
Delhi,City,Temperate,Medium,Medium,Non-Veg,Adventure
Udaipur,City,Hot,Medium,Low,Vegan,Nightlife
Udaipur,City,Hot,Medium,Low,Vegan,Adventure
Munnar,Forest,Tropical,Long,Low,Veg,Nightlife
Udaipur,City,Hot,Medium,Low,Non-Veg,Adventure
Munnar,Forest,Tropical,Long,Low,Non-Veg,Cultural
Pondicherry,Beach,Tropical,Long,Medium,Veg,Nightlife
Udaipur,City,Hot,Medium,Medium,Veg,Relaxing
Goa,Beach,Tropical,Medium,High,Non-Veg,Relaxing
Delhi,City,Temperate,Medium,Low,Vegan,Adventure
Manali,Mountains,Cold,Long,High,Veg,Nightlife
Pondicherry,Beach,Tropical,Long,High,Veg,Cultural
Shimla,Mountains,Cold,Medium,High,Veg,Relaxing
Ladakh,Mountains,Cold,Long,Medium,Vegan,Nightlife
Udaipur,City,Hot,Medium,Low,Vegan,Nightlife
Munnar,Forest,Tropical,Long,High,Non-Veg,Relaxing
Rishikesh,Mountains,Temperate,Medium,Medium,Veg,Relaxing
Ladakh,Mountains,Cold,Long,Medium,Non-Veg,Adventure
Delhi,City,Temperate,Medium,High,Vegan,Adventure
Jaisalmer,Desert,Hot,Long,High,Veg,Cultural
Jaisalmer,Desert,Hot,Long,Low,Non-Veg,Nightlife
Delhi,City,Temperate,Medium,High,Vegan,Cultural
Goa,Beach,Tropical,Medium,High,Veg,Nightlife
Shimla,Mountains,Cold,Medium,Medium,Vegan,Relaxing
Udaipur,City,Hot,Medium,High,Veg,Adventure
Shimla,Mountains,Cold,Medium,Low,Veg,Cultural
Delhi,City,Temperate,Medium,Medium,Vegan,Adventure
Delhi,City,Temperate,Medium,High,Vegan,Adventure
Delhi,City,Temperate,Medium,High,Vegan,Cultural
Munnar,Forest,Tropical,Long,High,Vegan,Adventure
Manali,Mountains,Cold,Long,High,Non-Veg,Adventure
Goa,Beach,Tropical,Medium,Low,Non-Veg,Cultural
Shimla,Mountains,Cold,Medium,Medium,Veg,Relaxing
Ladakh,Mountains,Cold,Long,High,Veg,Nightlife
Ladakh,Mountains,Cold,Long,High,Vegan,Cultural
Pondicherry,Beach,Tropical,Long,Low,Non-Veg,Relaxing
Rishikesh,Mountains,Temperate,Medium,High,Non-Veg,Relaxing
Ladakh,Mountains,Cold,Long,Low,Veg,Cultural
Jaisalmer,Desert,Hot,Long,High,Non-Veg,Adventure
Rishikesh,Mountains,Temperate,Medium,High,Veg,Nightlife
Rishikesh,Mountains,Temperate,Medium,High,Non-Veg,Nightlife
Munnar,Forest,Tropical,Long,High,Veg,Cultural
Rishikesh,Mountains,Temperate,Medium,Low,Non-Veg,Relaxing
Pondicherry,Beach,Tropical,Long,Medium,Veg,Adventure
Manali,Mountains,Cold,Long,High,Non-Veg,Cultural
Pondicherry,Beach,Tropical,Long,Low,Vegan,Adventure
Shimla,Mountains,Cold,Medium,Low,Non-Veg,Nightlife
Ladakh,Mountains,Cold,Long,High,Veg,Cultural
Pondicherry,Beach,Tropical,Long,High,Non-Veg,Cultural
Ladakh,Mountains,Cold,Long,Low,Non-Veg,Nightlife
Munnar,Forest,Tropical,Long,High,Non-Veg,Relaxing
Munnar,Forest,Tropical,Long,High,Non-Veg,Adventure
Shimla,Mountains,Cold,Medium,Medium,Non-Veg,Nightlife
Shimla,Mountains,Cold,Medium,High,Non-Veg,Relaxing
Munnar,Forest,Tropical,Long,Low,Vegan,Adventure
Delhi,City,Temperate,Medium,Low,Vegan,Relaxing
Udaipur,City,Hot,Medium,Medium,Vegan,Cultural
Ladakh,Mountains,Cold,Long,Medium,Non-Veg,Cultural
Rishikesh,Mountains,Temperate,Medium,High,Vegan,Nightlife
Jaisalmer,Desert,Hot,Long,Medium,Veg,Adventure
Rishikesh,Mountains,Temperate,Medium,Medium,Vegan,Nightlife
Delhi,City,Temperate,Medium,Low,Vegan,Nightlife
Manali,Mountains,Cold,Long,High,Vegan,Adventure
Shimla,Mountains,Cold,Medium,High,Veg,Relaxing
Delhi,City,Temperate,Medium,Medium,Vegan,Cultural
Shimla,Mountains,Cold,Medium,High,Non-Veg,Relaxing
Pondicherry,Beach,Tropical,Long,Low,Veg,Cultural
Ladakh,Mountains,Cold,Long,High,Veg,Relaxing
Delhi,City,Temperate,Medium,Medium,Vegan,Relaxing
Munnar,Forest,Tropical,Long,High,Non-Veg,Nightlife
Jaisalmer,Desert,Hot,Long,Low,Non-Veg,Nightlife
Shimla,Mountains,Cold,Medium,Low,Vegan,Adventure
Shimla,Mountains,Cold,Medium,Medium,Non-Veg,Relaxing
Munnar,Forest,Tropical,Long,Medium,Veg,Relaxing
Goa,Beach,Tropical,Medium,Medium,Vegan,Nightlife
Manali,Mountains,Cold,Long,High,Vegan,Cultural
Jaisalmer,Desert,Hot,Long,Low,Veg,Adventure
Rishikesh,Mountains,Temperate,Medium,High,Vegan,Adventure
Rishikesh,Mountains,Temperate,Medium,High,Non-Veg,Nightlife
Ladakh,Mountains,Cold,Long,High,Vegan,Relaxing
Jaisalmer,Desert,Hot,Long,High,Vegan,Relaxing
Goa,Beach,Tropical,Medium,High,Non-Veg,Cultural
Shimla,Mountains,Cold,Medium,Medium,Non-Veg,Relaxing
Rishikesh,Mountains,Temperate,Medium,Low,Non-Veg,Nightlife
Munnar,Forest,Tropical,Long,High,Vegan,Nightlife
Udaipur,City,Hot,Medium,Low,Non-Veg,Cultural
Goa,Beach,Tropical,Medium,Medium,Veg,Adventure
Rishikesh,Mountains,Temperate,Medium,Low,Veg,Cultural
Munnar,Forest,Tropical,Long,High,Non-Veg,Cultural
Ladakh,Mountains,Cold,Long,Low,Non-Veg,Adventure
Goa,Beach,Tropical,Medium,Low,Non-Veg,Adventure
Delhi,City,Temperate,Medium,Low,Non-Veg,Relaxing
Rishikesh,Mountains,Temperate,Medium,Medium,Vegan,Nightlife
Jaisalmer,Desert,Hot,Long,High,Non-Veg,Nightlife
Delhi,City,Temperate,Medium,Low,Vegan,Cultural
Udaipur,City,Hot,Medium,High,Veg,Cultural
Pondicherry,Beach,Tropical,Long,High,Non-Veg,Nightlife
Munnar,Forest,Tropical,Long,Low,Non-Veg,Relaxing
Manali,Mountains,Cold,Long,Medium,Vegan,Adventure
Rishikesh,Mountains,Temperate,Medium,High,Veg,Relaxing
Udaipur,City,Hot,Medium,Medium,Veg,Adventure
Shimla,Mountains,Cold,Medium,Low,Non-Veg,Adventure
Jaisalmer,Desert,Hot,Long,Medium,Vegan,Relaxing
Shimla,Mountains,Cold,Medium,Medium,Non-Veg,Adventure
Delhi,City,Temperate,Medium,Low,Veg,Cultural
Shimla,Mountains,Cold,Medium,Low,Veg,Nightlife
Udaipur,City,Hot,Medium,Medium,Non-Veg,Relaxing
Pondicherry,Beach,Tropical,Long,Medium,Vegan,Adventure
Munnar,Forest,Tropical,Long,Medium,Non-Veg,Adventure
Goa,Beach,Tropical,Medium,Medium,Non-Veg,Adventure
Jaisalmer,Desert,Hot,Long,Low,Vegan,Nightlife
Delhi,City,Temperate,Medium,High,Veg,Relaxing
Udaipur,City,Hot,Medium,Medium,Veg,Cultural
Goa,Beach,Tropical,Medium,Medium,Vegan,Cultural
Manali,Mountains,Cold,Long,Low,Non-Veg,Adventure
Udaipur,City,Hot,Medium,Medium,Vegan,Relaxing
Munnar,Forest,Tropical,Long,High,Vegan,Cultural
Rishikesh,Mountains,Temperate,Medium,Medium,Veg,Relaxing
Manali,Mountains,Cold,Long,Low,Veg,Cultural
Goa,Beach,Tropical,Medium,Low,Vegan,Nightlife
Udaipur,City,Hot,Medium,Medium,Vegan,Nightlife
Rishikesh,Mountains,Temperate,Medium,Medium,Veg,Cultural
Manali,Mountains,Cold,Long,Medium,Vegan,Cultural
Manali,Mountains,Cold,Long,High,Veg,Nightlife
Ladakh,Mountains,Cold,Long,High,Non-Veg,Cultural
Munnar,Forest,Tropical,Long,Medium,Non-Veg,Adventure
Jaisalmer,Desert,Hot,Long,Low,Veg,Cultural
Rishikesh,Mountains,Temperate,Medium,Low,Non-Veg,Adventure
Delhi,City,Temperate,Medium,High,Non-Veg,Relaxing
Manali,Mountains,Cold,Long,Low,Non-Veg,Relaxing
Jaisalmer,Desert,Hot,Long,Low,Vegan,Relaxing
Pondicherry,Beach,Tropical,Long,Medium,Non-Veg,Cultural
Rishikesh,Mountains,Temperate,Medium,Medium,Vegan,Cultural
Goa,Beach,Tropical,Medium,High,Veg,Cultural
Delhi,City,Temperate,Medium,High,Veg,Relaxing
Munnar,Forest,Tropical,Long,High,Vegan,Relaxing
Udaipur,City,Hot,Medium,Medium,Veg,Nightlife
Ladakh,Mountains,Cold,Long,Medium,Veg,Relaxing
Ladakh,Mountains,Cold,Long,High,Veg,Adventure
Manali,Mountains,Cold,Long,Low,Veg,Nightlife
Udaipur,City,Hot,Medium,High,Vegan,Relaxing
Manali,Mountains,Cold,Long,High,Veg,Relaxing
Munnar,Forest,Tropical,Long,High,Vegan,Adventure
Delhi,City,Temperate,Medium,Medium,Vegan,Cultural
Munnar,Forest,Tropical,Long,High,Non-Veg,Relaxing
Ladakh,Mountains,Cold,Long,Low,Non-Veg,Relaxing
Munnar,Forest,Tropical,Long,Low,Vegan,Adventure
Ladakh,Mountains,Cold,Long,Low,Veg,Nightlife
Goa,Beach,Tropical,Medium,Low,Veg,Cultural
Goa,Beach,Tropical,Medium,Medium,Veg,Adventure
Ladakh,Mountains,Cold,Long,Low,Non-Veg,Adventure
Jaisalmer,Desert,Hot,Long,Low,Vegan,Nightlife
Jaisalmer,Desert,Hot,Long,Low,Vegan,Relaxing
Munnar,Forest,Tropical,Long,Medium,Veg,Cultural
Manali,Mountains,Cold,Long,Low,Veg,Nightlife
Manali,Mountains,Cold,Long,Low,Veg,Nightlife
Munnar,Forest,Tropical,Long,High,Vegan,Cultural
Pondicherry,Beach,Tropical,Long,Medium,Vegan,Adventure
Pondicherry,Beach,Tropical,Long,Medium,Non-Veg,Relaxing
Udaipur,City,Hot,Medium,Low,Veg,Adventure
Pondicherry,Beach,Tropical,Long,Medium,Vegan,Nightlife
Rishikesh,Mountains,Temperate,Medium,High,Veg,Adventure
Ladakh,Mountains,Cold,Long,High,Non-Veg,Cultural
Udaipur,City,Hot,Medium,High,Vegan,Nightlife
Pondicherry,Beach,Tropical,Long,Low,Vegan,Adventure
Rishikesh,Mountains,Temperate,Medium,Low,Non-Veg,Adventure
Munnar,Forest,Tropical,Long,Low,Vegan,Relaxing
Shimla,Mountains,Cold,Medium,Low,Non-Veg,Cultural
Rishikesh,Mountains,Temperate,Medium,High,Veg,Relaxing
Udaipur,City,Hot,Medium,Medium,Veg,Nightlife
Ladakh,Mountains,Cold,Long,High,Vegan,Adventure
Shimla,Mountains,Cold,Medium,Low,Non-Veg,Relaxing
Munnar,Forest,Tropical,Long,Medium,Vegan,Cultural
Udaipur,City,Hot,Medium,High,Non-Veg,Relaxing
Pondicherry,Beach,Tropical,Long,High,Vegan,Cultural
Delhi,City,Temperate,Medium,High,Non-Veg,Adventure
Jaisalmer,Desert,Hot,Long,Low,Vegan,Relaxing
Delhi,City,Temperate,Medium,Low,Veg,Cultural
Goa,Beach,Tropical,Medium,Medium,Veg,Adventure
Shimla,Mountains,Cold,Medium,Low,Non-Veg,Nightlife
